Trial,Bird,Brain Region,Stimuli,Count
Spike 13,pupi0414_7,OV,conspecific,257
Spike 14,pupi0414_7,OV,conspecific,178
Spike 15,pupi0414_7,OV,conspecific,294
Spike 16,pupi0414_7,OV,conspecific,272
Spike 17,pupi0414_7,OV,conspecific,241
Spike 18,pupi0414_7,OV,conspecific,367
Spike 19,pupi0414_7,OV,conspecific,313
Spike 20,pupi0414_7,OV,conspecific,255
Spike 1,pupi0414_7,OV,flatrip,525
Spike 2,pupi0414_7,OV,flatrip,524
Spike 3,pupi0414_7,OV,flatrip,415
Spike 4,pupi0414_7,OV,flatrip,463
Spike 5,pupi0414_7,OV,flatrip,471
Spike 6,pupi0414_7,OV,flatrip,419
Spike 7,pupi0414_7,OV,flatrip,396
Spike 8,pupi0414_7,OV,flatrip,522
Spike 9,pupi0414_7,OV,flatrip,439
Spike 10,pupi0414_7,OV,flatrip,382
Spike 1,pupi0414_8,OV,conspecific,815
Spike 2,pupi0414_8,OV,conspecific,676
Spike 3,pupi0414_8,OV,conspecific,741
Spike 4,pupi0414_8,OV,conspecific,767
Spike 5,pupi0414_8,OV,conspecific,751
Spike 6,pupi0414_8,OV,conspecific,778
Spike 7,pupi0414_8,OV,conspecific,942
Spike 8,pupi0414_8,OV,conspecific,783
Spike 9,pupi0414_8,OV,conspecific,773
Spike 10,pupi0414_8,OV,conspecific,775
Spike 11,pupi0414_8,OV,conspecific,710
Spike 12,pupi0414_8,OV,conspecific,795
Spike 13,pupi0414_8,OV,conspecific,816
Spike 14,pupi0414_8,OV,conspecific,834
Spike 15,pupi0414_8,OV,conspecific,773
Spike 16,pupi0414_8,OV,conspecific,762
Spike 17,pupi0414_8,OV,conspecific,833
Spike 18,pupi0414_8,OV,conspecific,841
Spike 19,pupi0414_8,OV,conspecific,857
Spike 20,pupi0414_8,OV,conspecific,737
Spike 1,pupi0414_8,OV,flatrip,578
Spike 2,pupi0414_8,OV,flatrip,601
Spike 3,pupi0414_8,OV,flatrip,494
Spike 4,pupi0414_8,OV,flatrip,522
Spike 5,pupi0414_8,OV,flatrip,592
Spike 6,pupi0414_8,OV,flatrip,447
Spike 7,pupi0414_8,OV,flatrip,468
Spike 8,pupi0414_8,OV,flatrip,602
Spike 9,pupi0414_8,OV,flatrip,564
Spike 10,pupi0414_8,OV,flatrip,449
Spike 1,pupi0414_3,OV,conspecific,339
Spike 2,pupi0414_3,OV,conspecific,292
Spike 3,pupi0414_3,OV,conspecific,339
Spike 4,pupi0414_3,OV,conspecific,321
Spike 5,pupi0414_3,OV,conspecific,312
Spike 6,pupi0414_3,OV,conspecific,425
Spike 7,pupi0414_3,OV,conspecific,446
Spike 8,pupi0414_3,OV,conspecific,480
Spike 9,pupi0414_3,OV,conspecific,422
Spike 10,pupi0414_3,OV,conspecific,355
Spike 11,pupi0414_3,OV,conspecific,460
Spike 12,pupi0414_3,OV,conspecific,341
Spike 13,pupi0414_3,OV,conspecific,349
Spike 14,pupi0414_3,OV,conspecific,263
Spike 15,pupi0414_3,OV,conspecific,358
Spike 16,pupi0414_3,OV,conspecific,289
Spike 17,pupi0414_3,OV,conspecific,348
Spike 18,pupi0414_3,OV,conspecific,472
Spike 19,pupi0414_3,OV,conspecific,405
Spike 20,pupi0414_3,OV,conspecific,354
Spike 1,pupi0414_3,OV,flatrip,308
Spike 2,pupi0414_3,OV,flatrip,340
Spike 3,pupi0414_3,OV,flatrip,297
Spike 4,pupi0414_3,OV,flatrip,319
Spike 5,pupi0414_3,OV,flatrip,321
Spike 6,pupi0414_3,OV,flatrip,291
Spike 7,pupi0414_3,OV,flatrip,333
Spike 8,pupi0414_3,OV,flatrip,334
Spike 9,pupi0414_3,OV,flatrip,313
Spike 10,pupi0414_3,OV,flatrip,302
Spike 1,pupi0414_5,OV,conspecific,429
Spike 2,pupi0414_5,OV,conspecific,370
Spike 3,pupi0414_5,OV,conspecific,376
Spike 4,pupi0414_5,OV,conspecific,437
Spike 5,pupi0414_5,OV,conspecific,372
Spike 6,pupi0414_5,OV,conspecific,625
Spike 7,pupi0414_5,OV,conspecific,554
Spike 8,pupi0414_5,OV,conspecific,548
Spike 9,pupi0414_5,OV,conspecific,436
Spike 10,pupi0414_5,OV,conspecific,404
Spike 11,pupi0414_5,OV,conspecific,570
Spike 12,pupi0414_5,OV,conspecific,391
Spike 13,pupi0414_5,OV,conspecific,510
Spike 14,pupi0414_5,OV,conspecific,384
Spike 15,pupi0414_5,OV,conspecific,532
Spike 16,pupi0414_5,OV,conspecific,421
Spike 17,pupi0414_5,OV,conspecific,367
Spike 18,pupi0414_5,OV,conspecific,597
Spike 19,pupi0414_5,OV,conspecific,653
Spike 20,pupi0414_5,OV,conspecific,489
Spike 1,pupi0414_5,OV,flatrip,513
Spike 2,pupi0414_5,OV,flatrip,599
Spike 3,pupi0414_5,OV,flatrip,503
Spike 4,pupi0414_5,OV,flatrip,525
Spike 5,pupi0414_5,OV,flatrip,547
Spike 6,pupi0414_5,OV,flatrip,485
Spike 7,pupi0414_5,OV,flatrip,441
Spike 8,pupi0414_5,OV,flatrip,598
Spike 9,pupi0414_5,OV,flatrip,527
Spike 10,pupi0414_5,OV,flatrip,504
Spike 1,pupi0414_1,OV,conspecific,2343
Spike 2,pupi0414_1,OV,conspecific,2017
Spike 3,pupi0414_1,OV,conspecific,2205
Spike 4,pupi0414_1,OV,conspecific,2362
Spike 5,pupi0414_1,OV,conspecific,2056
Spike 6,pupi0414_1,OV,conspecific,3204
Spike 7,pupi0414_1,OV,conspecific,3265
Spike 8,pupi0414_1,OV,conspecific,3294
Spike 9,pupi0414_1,OV,conspecific,2935
Spike 10,pupi0414_1,OV,conspecific,2764
Spike 11,pupi0414_1,OV,conspecific,3445
Spike 12,pupi0414_1,OV,conspecific,2097
Spike 13,pupi0414_1,OV,conspecific,2844
Spike 14,pupi0414_1,OV,conspecific,1917
Spike 15,pupi0414_1,OV,conspecific,3085
Spike 16,pupi0414_1,OV,conspecific,2454
Spike 17,pupi0414_1,OV,conspecific,2535
Spike 18,pupi0414_1,OV,conspecific,3292
Spike 19,pupi0414_1,OV,conspecific,3072
Spike 20,pupi0414_1,OV,conspecific,2357
Spike 1,pupi0414_1,OV,flatrip,2633
Spike 2,pupi0414_1,OV,flatrip,2545
Spike 3,pupi0414_1,OV,flatrip,2650
Spike 4,pupi0414_1,OV,flatrip,2527
Spike 5,pupi0414_1,OV,flatrip,2430
Spike 6,pupi0414_1,OV,flatrip,2553
Spike 7,pupi0414_1,OV,flatrip,2690
Spike 8,pupi0414_1,OV,flatrip,2510
Spike 9,pupi0414_1,OV,flatrip,2518
Spike 10,pupi0414_1,OV,flatrip,2798
Spike 1,pupi0414_6,OV,conspecific,244
Spike 2,pupi0414_6,OV,conspecific,215
Spike 3,pupi0414_6,OV,conspecific,234
Spike 4,pupi0414_6,OV,conspecific,259
Spike 5,pupi0414_6,OV,conspecific,213
Spike 6,pupi0414_6,OV,conspecific,324
Spike 7,pupi0414_6,OV,conspecific,374
Spike 8,pupi0414_6,OV,conspecific,352
Spike 9,pupi0414_6,OV,conspecific,295
Spike 10,pupi0414_6,OV,conspecific,237
Spike 11,pupi0414_6,OV,conspecific,323
Spike 12,pupi0414_6,OV,conspecific,197
Spike 13,pupi0414_6,OV,conspecific,229
Spike 14,pupi0414_6,OV,conspecific,223
Spike 15,pupi0414_6,OV,conspecific,312
Spike 16,pupi0414_6,OV,conspecific,216
Spike 17,pupi0414_6,OV,conspecific,245
Spike 18,pupi0414_6,OV,conspecific,359
Spike 19,pupi0414_6,OV,conspecific,280
Spike 20,pupi0414_6,OV,conspecific,265
Spike 1,pupi0414_6,OV,flatrip,307
Spike 2,pupi0414_6,OV,flatrip,254
Spike 3,pupi0414_6,OV,flatrip,282
Spike 4,pupi0414_6,OV,flatrip,280
Spike 5,pupi0414_6,OV,flatrip,285
Spike 6,pupi0414_6,OV,flatrip,242
Spike 7,pupi0414_6,OV,flatrip,219
Spike 8,pupi0414_6,OV,flatrip,293
Spike 9,pupi0414_6,OV,flatrip,283
Spike 10,pupi0414_6,OV,flatrip,227
Spike 1,gr0869_2,OV,conspecific,113
Spike 2,gr0869_2,OV,conspecific,102
Spike 3,gr0869_2,OV,conspecific,96
Spike 4,gr0869_2,OV,conspecific,99
Spike 5,gr0869_2,OV,conspecific,72
Spike 6,gr0869_2,OV,conspecific,132
Spike 7,gr0869_2,OV,conspecific,127
Spike 8,gr0869_2,OV,conspecific,112
Spike 9,gr0869_2,OV,conspecific,157
Spike 10,gr0869_2,OV,conspecific,94
Spike 11,gr0869_2,OV,conspecific,184
Spike 12,gr0869_2,OV,conspecific,85
Spike 13,gr0869_2,OV,conspecific,129
Spike 14,gr0869_2,OV,conspecific,119
Spike 15,gr0869_2,OV,conspecific,131
Spike 16,gr0869_2,OV,conspecific,98
Spike 17,gr0869_2,OV,conspecific,94
Spike 18,gr0869_2,OV,conspecific,154
Spike 19,gr0869_2,OV,conspecific,125
Spike 20,gr0869_2,OV,conspecific,191
Spike 1,gr0869_2,OV,flatrip,208
Spike 2,gr0869_2,OV,flatrip,204
Spike 3,gr0869_2,OV,flatrip,159
Spike 4,gr0869_2,OV,flatrip,173
Spike 5,gr0869_2,OV,flatrip,159
Spike 6,gr0869_2,OV,flatrip,102
Spike 7,gr0869_2,OV,flatrip,107
Spike 8,gr0869_2,OV,flatrip,180
Spike 9,gr0869_2,OV,flatrip,169
Spike 10,gr0869_2,OV,flatrip,121
Spike 1,gr0869_10,OV,conspecific,161
Spike 2,gr0869_10,OV,conspecific,109
Spike 3,gr0869_10,OV,conspecific,141
Spike 4,gr0869_10,OV,conspecific,162
Spike 5,gr0869_10,OV,conspecific,135
Spike 6,gr0869_10,OV,conspecific,246
Spike 7,gr0869_10,OV,conspecific,229
Spike 8,gr0869_10,OV,conspecific,197
Spike 9,gr0869_10,OV,conspecific,232
Spike 10,gr0869_10,OV,conspecific,126
Spike 11,gr0869_10,OV,conspecific,177
Spike 12,gr0869_10,OV,conspecific,124
Spike 13,gr0869_10,OV,conspecific,221
Spike 14,gr0869_10,OV,conspecific,217
Spike 15,gr0869_10,OV,conspecific,254
Spike 16,gr0869_10,OV,conspecific,175
Spike 17,gr0869_10,OV,conspecific,120
Spike 18,gr0869_10,OV,conspecific,249
Spike 19,gr0869_10,OV,conspecific,231
Spike 20,gr0869_10,OV,conspecific,240
Spike 1,gr0869_10,OV,flatrip,244
Spike 2,gr0869_10,OV,flatrip,201
Spike 3,gr0869_10,OV,flatrip,165
Spike 4,gr0869_10,OV,flatrip,169
Spike 5,gr0869_10,OV,flatrip,183
Spike 6,gr0869_10,OV,flatrip,119
Spike 7,gr0869_10,OV,flatrip,106
Spike 8,gr0869_10,OV,flatrip,170
Spike 9,gr0869_10,OV,flatrip,151
Spike 10,gr0869_10,OV,flatrip,112
Spike 1,gr0869_9,OV,conspecific,374
Spike 2,gr0869_9,OV,conspecific,251
Spike 3,gr0869_9,OV,conspecific,318
Spike 4,gr0869_9,OV,conspecific,418
Spike 5,gr0869_9,OV,conspecific,350
Spike 6,gr0869_9,OV,conspecific,591
Spike 7,gr0869_9,OV,conspecific,518
Spike 8,gr0869_9,OV,conspecific,404
Spike 9,gr0869_9,OV,conspecific,518
Spike 10,gr0869_9,OV,conspecific,348
Spike 11,gr0869_9,OV,conspecific,474
Spike 12,gr0869_9,OV,conspecific,364
Spike 13,gr0869_9,OV,conspecific,460
Spike 14,gr0869_9,OV,conspecific,463
Spike 15,gr0869_9,OV,conspecific,562
Spike 16,gr0869_9,OV,conspecific,465
Spike 17,gr0869_9,OV,conspecific,266
Spike 18,gr0869_9,OV,conspecific,504
Spike 19,gr0869_9,OV,conspecific,496
Spike 20,gr0869_9,OV,conspecific,602
Spike 1,gr0869_9,OV,flatrip,811
Spike 2,gr0869_9,OV,flatrip,632
Spike 3,gr0869_9,OV,flatrip,545
Spike 4,gr0869_9,OV,flatrip,513
Spike 5,gr0869_9,OV,flatrip,594
Spike 6,gr0869_9,OV,flatrip,354
Spike 7,gr0869_9,OV,flatrip,368
Spike 8,gr0869_9,OV,flatrip,576
Spike 9,gr0869_9,OV,flatrip,459
Spike 10,gr0869_9,OV,flatrip,359
Spike 1,gr0869_7,OV,conspecific,224
Spike 2,gr0869_7,OV,conspecific,174
